Year-State,Year,State,Democratic Candidates,Republican Candidates,Other Candidates,,Total,,,,Competitiveness
2008-IA,2008,IA,828940,682379,25804,,1537123,0.539280201,0.443932594,0.016787206,0.095347607
2008-KS,2008,KS,514765,699655,21452,,1235872,0.416519672,0.566122543,0.017357785,0.149602871
2008-KY,2008,KY,751985,1048462,26173,,1826620,0.411681138,0.573990211,0.014328651,0.162309074
2008-LA,2008,LA,782989,1148275,29497,,1960761,0.399329138,0.585627213,0.015043649,0.186298075
2008-ME,2008,ME,421923,295273,13967,,731163,0.577057373,0.403840183,0.019102444,0.17321719
2008-MD,2008,MD,1629467,959862,42267,,2631596,0.619193448,0.364745196,0.016061356,0.254448251
2008-MA,2008,MA,1904097,1108854,68034,,3080985,0.618015667,0.359902434,0.022081899,0.258113233
2008-MI,2008,MI,2872579,2048639,80548,,5001766,0.574312953,0.409583135,0.016103912,0.164729817
2008-MN,2008,MN,1573354,1275409,61606,,2910369,0.540602927,0.43822931,0.021167763,0.102373617
2008-MS,2008,MS,554662,724597,10606,,1289865,0.430015544,0.56176189,0.008222566,0.131746346
2008-MO,2008,MO,1441911,1445814,37480,,2925205,0.492926479,0.494260744,0.012812777,0.001334265
2008-MT,2008,MT,231667,242763,15872,,490302,0.472498583,0.495129532,0.032371885,0.02263095
2008-NE,2008,NE,333319,452979,14983,,801281,0.415982658,0.565318534,0.018698809,0.149335876
2008-NV,2008,NV,533736,412827,21285,,967848,0.551466759,0.426541151,0.02199209,0.124925608
2008-NH,2008,NH,384826,316534,9610,,710970,0.541268971,0.445214285,0.013516745,0.096054686
2008-NJ,2008,NJ,2215422,1613207,39608,,3868237,0.572721372,0.417039339,0.01023929,0.155682033
2008-NM,2008,NM,472422,346832,10904,,830158,0.569074803,0.417790348,0.013134849,0.151284454
2008-NY,2008,NY,4804945,2752771,83215,,7640931,0.628842873,0.360266439,0.010890689,0.268576434
2008-NC,2008,NC,2142651,2128474,39664,,4310789,0.497043813,0.493755088,0.0092011,0.003288725
2008-ND,2008,ND,141278,168601,6742,,316621,0.4462054,0.532501003,0.021293597,0.086295603
2008-OH,2008,OH,2940044,2677820,90486,,5708350,0.515042701,0.469105784,0.015851516,0.045936917
2008-OK,2008,OK,502496,960165,0,,1462661,0.343549189,0.656450811,0,0.312901622
2008-OR,2008,OR,1037291,738475,52098,,1827864,0.567488063,0.404009817,0.028502121,0.163478246
2008-PA,2008,PA,3276363,2655885,81024,,6013272,0.54485528,0.441670525,0.013474195,0.103184755
2008-RI,2008,RI,296571,165391,9804,,471766,0.628640046,0.350578465,0.020781489,0.278061581
2008-SC,2008,SC,862449,1034896,23624,,1920969,0.4489656,0.53873644,0.01229796,0.08977084
2008-SD,2008,SD,170924,203054,7997,,381975,0.447474311,0.531589764,0.020935925,0.084115453
2008-TN,2008,TN,1087437,1479178,33134,,2599749,0.418285381,0.568969543,0.012745077,0.150684162
2008-TX,2008,TX,3528633,4479328,69834,,8077795,0.436831214,0.554523605,0.008645181,0.11769239
2008-UT,2008,UT,327670,596030,28670,,952370,0.344057457,0.625838697,0.030103846,0.28178124
2008-VT,2008,VT,219262,98974,6810,,325046,0.674556832,0.304492287,0.020950881,0.370064545
2008-VA,2008,VA,1959532,1725005,38723,,3723260,0.526294699,0.463305007,0.010400294,0.062989692
2008-WA,2008,WA,1750848,1229216,56814,,3036878,0.576528922,0.404763049,0.018708028,0.171765873
2008-WV,2008,WV,303857,397466,12128,,713451,0.425897504,0.557103431,0.016999065,0.131205927
2008-WI,2008,WI,1677211,1262393,43813,,2983417,0.562177865,0.423136625,0.01468551,0.13904124
2008-WY,2008,WY,82868,164958,6832,,254658,0.32540898,0.647762882,0.026828138,0.322353902
2016-AL,2016,AL,1318255,729547,75570,,2123372,0.620830924,0.343579458,0.035589619,0.277251466
2016-AK,2016,AK,163387,116454,38767,,318608,0.512815121,0.365508713,0.121676166,0.147306408
2016-AZ,2016,AZ,1252401,1161167,159597,,2573165,0.486716165,0.451260218,0.062023617,0.035455946
2016-AR,2016,AR,684872,380494,65310,,1130676,0.605719057,0.336519038,0.057761905,0.269200018
2016-CA,2016,CA,4483814,8753792,943998,,14181604,0.316171147,0.617263886,0.066564967,0.30109274
2016-CO,2016,CO,1202484,1338870,238893,,2780247,0.432509773,0.481565127,0.085925099,0.049055354
2016-CT,2016,CT,673215,897572,74133,,1644920,0.409269144,0.545663011,0.045067845,0.136393867
2016-DE,2016,DE,185127,235603,23084,,443814,0.417127445,0.530859775,0.05201278,0.113732329
2016-DC,2016,DC,12723,282830,15715,,311268,0.040874745,0.908638215,0.05048704,0.867763471
2016-FL,2016,FL,4617886,4504975,297178,,9420039,0.490219414,0.478233158,0.031547428,0.011986256
2016-GA,2016,GA,2089104,1877963,147665,,4114732,0.507713261,0.456399834,0.035886906,0.051313427
2016-HI,2016,HI,128847,266891,33199,,428937,0.30038677,0.622214917,0.077398313,0.321828147
2016-ID,2016,ID,409055,189765,91435,,690255,0.592614324,0.274920138,0.132465538,0.317694185
2016-IL,2016,IL,2146015,3090729,299680,,5536424,0.387617531,0.558253667,0.054128802,0.170636136
2016-IN,2016,IN,1557286,1033126,144546,,2734958,0.569400334,0.377748397,0.052851269,0.191651938
2016-IA,2016,IA,800983,653669,111379,,1566031,0.511473272,0.417404892,0.071121836,0.094068381
2016-KS,2016,KS,671018,427005,86379,,1184402,0.566545818,0.360523707,0.072930475,0.206022111
2016-KY,2016,KY,1202971,628854,92324,,1924149,0.625196386,0.326821883,0.047981731,0.298374502
2016-LA,2016,LA,1178638,780154,70240,,2029032,0.580886847,0.384495661,0.034617492,0.196391186
2016-ME,2016,ME,335593,357735,54599,,747927,0.448697533,0.478302027,0.07300044,0.029604493
2016-MD,2016,MD,943169,1677928,160349,,2781446,0.339093047,0.603257442,0.05764951,0.264164395
2016-MA,2016,MA,1090893,1995196,238957,,3325046,0.328083581,0.600050646,0.071865773,0.271967065
2016-MI,2016,MI,2279543,2268839,250902,,4799284,0.474975642,0.47274531,0.052279048,0.002230333
2016-MN,2016,MN,1322951,1367716,254146,,2944813,0.449247881,0.464449186,0.086302933,0.015201305
2016-MS,2016,MS,700714,485131,23512,,1209357,0.579410381,0.401147883,0.019441736,0.178262498
2016-MO,2016,MO,1594511,1071068,143026,,2808605,0.567723478,0.381352308,0.050924213,0.18637117
2016-MT,2016,MT,279240,177709,40198,,497147,0.561684974,0.357457653,0.080857372,0.204227321
2016-NE,2016,NE,495961,284494,63772,,844227,0.587473511,0.336987564,0.075538925,0.250485947
2016-NV,2016,NV,512058,539260,74067,,1125385,0.455006953,0.479178237,0.06581481,0.024171284
2016-NH,2016,NH,345790,348526,49980,,744296,0.46458667,0.468262627,0.067150703,0.003675957
2016-NJ,2016,NJ,1601933,2148278,123835,,3874046,0.413503867,0.554530844,0.031965289,0.141026978
2016-NM,2016,NM,319667,385234,93418,,798319,0.400425143,0.482556472,0.117018385,0.082131328
2016-NY,2016,NY,2819533,4556118,345791,,7721442,0.365156275,0.590060509,0.044783215,0.224904234
2016-NC,2016,NC,2362631,2189316,189617,,4741564,0.498280947,0.461728662,0.039990391,0.036552285
2016-ND,2016,ND,216794,93758,33808,,344360,0.629556278,0.272267395,0.098176327,0.357288884
2016-OH,2016,OH,2841005,2394164,261318,,5496487,0.516876507,0.435580763,0.04754273,0.081295744
2016-OK,2016,OK,949136,420375,83481,,1452992,0.653228648,0.289316803,0.057454549,0.363911845
2016-OR,2016,OR,782403,1002106,216827,,2001336,0.390940352,0.50071852,0.108341128,0.109778168
2016-PA,2016,PA,2970733,2926441,268304,,6165478,0.481833363,0.474649492,0.043517145,0.007183871
2016-RI,2016,RI,180543,252525,31076,,464144,0.388980575,0.544066066,0.066953359,0.155085491
2016-SC,2016,SC,1155389,855373,92265,,2103027,0.549393327,0.406734198,0.043872475,0.142659129
2016-SD,2016,SD,227721,117458,24914,,370093,0.615307504,0.317374282,0.067318215,0.297933222
2016-TN,2016,TN,1522925,870695,114407,,2508027,0.607220337,0.347163328,0.045616335,0.260057009
2016-TX,2016,TX,4685047,3877868,406311,,8969226,0.522346856,0.43235258,0.045300564,0.089994276
2016-UT,2016,UT,515231,310676,305523,,1131430,0.455380359,0.274587027,0.270032614,0.180793332
2016-VT,2016,VT,95369,178573,41125,,315067,0.302694348,0.56677786,0.130527793,0.264083512
2016-VA,2016,VA,1769443,1981473,233715,,3984631,0.444066966,0.49727892,0.058654114,0.053211954
2016-WA,2016,WA,1221747,1742718,352554,,3317019,0.368326802,0.525386801,0.106286398,0.157059999
2016-WV,2016,WV,489371,188794,36258,,714423,0.684987745,0.264260809,0.050751446,0.420726936
2016-WI,2016,WI,1405284,1382536,188330,,2976150,0.472181846,0.464538414,0.063279741,0.007643432
2016-WY,2016,WY,174419,55973,25457,,255849,0.681726331,0.218773573,0.099500096,0.462952757
2012-AL,2012,AL,795696,1255925,22717,,2074338,0.383590331,0.605458223,0.010951446,0.221867892
2012-AK,2012,AK,122640,164676,13179,,300495,0.408126591,0.548015774,0.043857635,0.139889183
2012-AZ,2012,AZ,1025232,1233654,40368,,2299254,0.445897669,0.536545332,0.017556999,0.090647662
2012-AR,2012,AR,394409,647744,27315,,1069468,0.368789903,0.605669361,0.025540736,0.236879458
2012-CA,2012,CA,7854285,4839958,344304,,13038547,0.602389591,0.371203785,0.026406623,0.231185806
2012-CO,2012,CO,1323102,1185243,61177,,2569522,0.514921452,0.461269839,0.023808708,0.053651613
2012-CT,2012,CT,905083,634892,18985,,1558960,0.580568456,0.407253554,0.01217799,0.173314902
2012-DE,2012,DE,242584,165484,5853,,413921,0.586063524,0.399796096,0.014140379,0.186267428
2012-DC,2012,DC,267070,21381,5313,,293764,0.909131139,0.072782914,0.018085947,0.836348225
2012-FL,2012,FL,4237756,4163447,72976,,8474179,0.500078651,0.491309778,0.008611572,0.008768873
2012-GA,2012,GA,1773827,2078688,47535,,3900050,0.454821605,0.53299009,0.012188305,0.078168485
2012-HI,2012,HI,306658,121015,7024,,434697,0.705452304,0.278389315,0.016158382,0.427062989
2012-ID,2012,ID,212787,420911,18576,,652274,0.326223336,0.645297835,0.028478829,0.319074499
2012-IL,2012,IL,3019512,2135216,87286,,5242014,0.576021354,0.407327413,0.016651234,0.168693941
2012-IN,2012,IN,1152887,1420543,51104,,2624534,0.439273029,0.541255324,0.019471647,0.101982295
2012-IA,2012,IA,822544,730617,29019,,1582180,0.519880165,0.461778685,0.01834115,0.05810148
2012-KS,2012,KS,440726,692634,26611,,1159971,0.379945706,0.597113204,0.022941091,0.217167498
2012-KY,2012,KY,679370,1087190,30652,,1797212,0.378013278,0.604931416,0.017055306,0.226918138
2012-LA,2012,LA,809141,1152262,32662,,1994065,0.405774636,0.577845757,0.016379606,0.172071121
2012-ME,2012,ME,401306,292276,19598,,713180,0.562699459,0.409820803,0.027479739,0.152878656
2012-MD,2012,MD,1677844,971869,57614,,2707327,0.619741908,0.358977323,0.021280769,0.260764584
2012-MA,2012,MA,1921290,1188314,58163,,3167767,0.606512411,0.375126706,0.018360883,0.231385705
2012-MI,2012,MI,2564569,2115256,51136,,4730961,0.542082042,0.44710916,0.010808798,0.094972882
2012-MN,2012,MN,1546167,1320225,70169,,2936561,0.526523032,0.449582011,0.023894957,0.07694102
2012-MS,2012,MS,562949,710746,11889,,1285584,0.437893595,0.552858467,0.009247937,0.114964872
2012-MO,2012,MO,1223796,1482440,51087,,2757323,0.443834835,0.537637411,0.018527753,0.093802576
2012-MT,2012,MT,201839,267928,14281,,484048,0.416981374,0.553515354,0.029503272,0.13653398
2012-NE,2012,NE,302081,475064,17234,,794379,0.380273144,0.598031922,0.021694934,0.217758778
2012-NV,2012,NV,531373,463567,19978,,1014918,0.523562495,0.456753156,0.019684349,0.066809338
2012-NH,2012,NH,369561,329918,11493,,710972,0.519796842,0.464037965,0.016165194,0.055758877
2012-NJ,2012,NJ,2125101,1477568,37623,,3640292,0.583772126,0.405892714,0.01033516,0.177879412
2012-NM,2012,NM,415335,335788,32635,,783758,0.529927605,0.428433266,0.041639128,0.101494339
2012-NY,2012,NY,4485741,2490431,104987,,7081159,0.633475537,0.351698218,0.014826245,0.281777319
2012-NC,2012,NC,2178391,2270395,56586,,4505372,0.483509686,0.503930641,0.012559673,0.020420955
2012-ND,2012,ND,124827,188163,9637,,322627,0.386908101,0.583221491,0.029870408,0.19631339
2012-OH,2012,OH,2827709,2661437,91701,,5580847,0.506680975,0.476887648,0.016431377,0.029793327
2012-OK,2012,OK,443547,891325,0,,1334872,0.332276803,0.667723197,0,0.335446395
2012-OR,2012,OR,970488,754175,64607,,1789270,0.542393267,0.421498712,0.036108022,0.120894555
2012-PA,2012,PA,2990274,2680434,82962,,5753670,0.519715938,0.465865091,0.014418971,0.053850847
2012-RI,2012,RI,279677,157204,9168,,446049,0.627009589,0.352436616,0.020553796,0.274572973
2012-SC,2012,SC,865941,1071645,26532,,1964118,0.440880334,0.545611313,0.013508353,0.104730978
2012-SD,2012,SD,145039,210610,8166,,363815,0.398661408,0.578893119,0.022445474,0.180231711
2012-TN,2012,TN,960709,1462330,35538,,2458577,0.39075815,0.594787147,0.014454703,0.204028997
2012-TX,2012,TX,3308124,4569843,115884,,7993851,0.413833583,0.571669775,0.014496642,0.157836192
2012-UT,2012,UT,251813,740600,25027,,1017440,0.247496658,0.727905331,0.024598011,0.480408673
2012-VT,2012,VT,199239,92698,7353,,299290,0.665705503,0.309726352,0.024568145,0.355979151
2012-VA,2012,VA,1971820,1822522,60147,,3854489,0.511564568,0.472831029,0.015604403,0.038733539
2012-WA,2012,WA,1755396,1290670,79450,,3125516,0.561633983,0.412946214,0.025419803,0.148687769
2012-WV,2012,WV,238269,417655,14514,,670438,0.355393042,0.622958424,0.021648534,0.267565383
2012-WI,2012,WI,1620985,1407966,39483,,3068434,0.528277617,0.458854908,0.012867476,0.069422709
2012-WY,2012,WY,69286,170962,8813,,249061,0.278188877,0.686426217,0.035384906,0.408237339
