Year-State,Year,State,Democratic Candidates,Republican Candidates,Other Candidates,Total Candidates ,% Democratic ,%Republican ,% Other Candidates,,,,
2004-AR,2004,AR,469953,572898,12094,1054945,44.55%,54.31%,1.15%,,,,
2004-CA,2004,CA,6745485,5509826,166541,12421852,54.30%,44.36%,1.34%,,,,
2004-CO,2004,CO,1001732,1101255,27343,2130330,47.02%,51.69%,1.28%,,,,
2004-CT,2004,CT,857488,693826,27455,1578769,54.31%,43.95%,1.74%,,,,
2004-DE,2004,DE,200152,171660,3378,375190,53.35%,45.75%,0.90%,,,,
2004-DC,2004,DC,202970,21256,3360,227586,89.18%,9.34%,1.48%,,,,
2004-FL,2004,FL,3583544,3964522,61744,7609810,47.09%,52.10%,0.81%,,,,
2004-GA,2004,GA,1366149,1914254,21472,3301875,41.37%,57.97%,0.65%,,,,
2004-HI,2004,HI,231708,194191,3114,429013,54.01%,45.26%,0.73%,,,,
2004-ID,2004,ID,181098,409235,8114,598447,30.26%,68.38%,1.36%,,,,
2004-IL,2004,IL,2891550,2345946,36826,5274322,54.82%,44.48%,0.70%,,,,
2004-IN,2004,IN,969011,1479438,19553,2468002,39.26%,59.94%,0.79%,,,,
2004-IA,2004,IA,741898,751957,13053,1506908,49.23%,49.90%,0.87%,,,,
2004-KS,2004,KS,434993,736456,16307,1187756,36.62%,62.00%,1.37%,,,,
2004-KY,2004,KY,712733,1069439,13710,1795882,39.69%,59.55%,0.76%,,,,
2004-LA,2004,LA,820299,1102169,20638,1943106,42.22%,56.72%,1.06%,,,,
2004-ME,2004,ME,396842,330201,13709,740752,53.57%,44.58%,1.85%,,,,
2004-MD,2004,MD,1334493,1024703,27482,2386678,55.91%,42.93%,1.15%,,,,
2004-MA,2004,MA,1803800,1071109,37479,2912388,61.94%,36.78%,1.29%,,,,
2004-MI,2004,MI,2479183,2313746,46323,4839252,51.23%,47.81%,0.96%,,,,
2004-MN,2004,MN,1445014,1346695,36678,2828387,51.09%,47.61%,1.30%,,,,
2004-MS,2004,MS,458094,684981,9070,1152145,39.76%,59.45%,0.79%,,,,
2004-MO,2004,MO,1259171,1455713,16480,2731364,46.10%,53.30%,0.60%,,,,
2004-MT,2004,MT,173710,266063,10672,450445,38.56%,59.07%,2.37%,,,,
2004-NE,2004,NE,254328,512814,11044,778186,32.68%,65.90%,1.42%,,,,
2004-NV,2004,NV,397190,418690,13707,829587,47.88%,50.47%,1.65%,,,,
2004-NH,2004,NH,340511,331237,5990,677738,50.24%,48.87%,0.88%,,,,
2004-NJ,2004,NJ,1911430,1670003,30258,3611691,52.92%,46.24%,0.84%,,,,
2004-NM,2004,NM,370942,376930,8432,756304,49.05%,49.84%,1.11%,,,,
2004-NY,2004,NY,4314280,2962567,114189,7391036,58.37%,40.08%,1.54%,,,,
2004-NC,2004,NC,1525849,1961166,13992,3501007,43.58%,56.02%,0.40%,,,,
2004-ND,2004,ND,111052,196651,5130,312833,35.50%,62.86%,1.64%,,,,
2004-OH,2004,OH,2741167,2859768,26973,5627908,48.71%,50.81%,0.48%,,,,
2004-OK,2004,OK,503966,959792,0,1463758,34.43%,65.57%,0.00%,,,,
2004-OR,2004,OR,943163,866831,26788,1836782,51.35%,47.19%,1.46%,,,,
2004-PA,2004,PA,2938095,2793847,37648,5769590,50.92%,48.42%,0.65%,,,,
2004-RI,2004,RI,259765,169046,8323,437134,59.42%,38.67%,1.90%,,,,
2004-SC,2004,SC,661699,937974,18057,1617730,40.90%,57.98%,1.12%,,,,
2004-SD,2004,SD,149244,232584,6387,388215,38.44%,59.91%,1.65%,,,,
2004-TN,2004,TN,1036477,1384375,16467,2437319,42.53%,56.80%,0.68%,,,,
2004-TX,2004,TX,2832704,4526917,51144,7410765,38.22%,61.09%,0.69%,,,,
2004-UT,2004,UT,241199,663742,22903,927844,26.00%,71.54%,2.47%,,,,
2004-VT,2004,VT,184067,121180,7062,312309,58.94%,38.80%,2.26%,,,,
2004-VA,2004,VA,1454742,1716959,26666,3198367,45.48%,53.68%,0.83%,,,,
2004-WA,2004,WA,1510201,1304894,43989,2859084,52.82%,45.64%,1.54%,,,,
2004-WV,2004,WV,326541,423778,5568,755887,43.20%,56.06%,0.74%,,,,
2004-WI,2004,WI,1489504,1478120,29383,2997007,49.70%,49.32%,0.98%,,,,
2004-WY,2004,WY,70776,167629,5023,243428,29.07%,68.86%,2.06%,,,,
,,,,,,,,,,,,,
Year-State,Year,State,Democratic Candidates,Republican Candidates,Other Candidates,Total Candidates ,% Democratic ,%Republican ,% Other Candidates,,,,
2008-AL,2008,AL,813479,1266546,19794,2099819,38.74%,60.32%,0.94%,,,,
2008-AK,2008,AK,123594,193841,8762,326197,37.89%,59.42%,2.69%,,,,
2008-AZ,2008,AZ,1034707,1230111,28657,2293475,45.12%,53.64%,1.25%,,,,
2008-AR,2008,AR,422310,638017,26290,1086617,38.86%,58.72%,2.42%,,,,
2008-CA,2008,CA,8274473,5011781,275646,13561900,61.01%,36.95%,2.03%,,,,
2008-CO,2008,CO,1288633,1073629,39200,2401462,53.66%,44.71%,1.63%,,,,
2008-CT,2008,CT,997772,629428,19597,1646797,60.59%,38.22%,1.19%,,,,
2008-DE,2008,DE,255459,152374,4579,412412,61.94%,36.95%,1.11%,,,,
2008-DC,2008,DC,245800,17367,2686,265853,92.46%,6.53%,1.01%,,,,
2008-FL,2008,FL,4282074,4045624,63046,8390744,51.03%,48.22%,0.75%,,,,
2008-GA,2008,GA,1844123,2048759,31604,3924486,46.99%,52.20%,0.81%,,,,
2008-HI,2008,HI,325871,120566,7131,453568,71.85%,26.58%,1.57%,,,,
2008-ID,2008,ID,236440,403012,15670,655122,36.09%,61.52%,2.39%,,,,
2008-IL,2008,IL,3419348,2031179,71844,5522371,61.92%,36.78%,1.30%,,,,
2008-IN,2008,IN,1374039,1345648,31367,2751054,49.95%,48.91%,1.14%,,,,
2008-IA,2008,IA,828940,682379,25804,1537123,53.93%,44.39%,1.68%,,,,
2008-KS,2008,KS,514765,699655,21452,1235872,41.65%,56.61%,1.74%,,,,
2008-KY,2008,KY,751985,1048462,26173,1826620,41.17%,57.40%,1.43%,,,,
2008-LA,2008,LA,782989,1148275,29497,1960761,39.93%,58.56%,1.50%,,,,
2008-ME,2008,ME,421923,295273,13967,731163,57.71%,40.38%,1.91%,,,,
2008-MD,2008,MD,1629467,959862,42267,2631596,61.92%,36.47%,1.61%,,,,
2008-MA,2008,MA,1904097,1108854,68034,3080985,61.80%,35.99%,2.21%,,,,
2008-MI,2008,MI,2872579,2048639,80548,5001766,57.43%,40.96%,1.61%,,,,
2008-MN,2008,MN,1573354,1275409,61606,2910369,54.06%,43.82%,2.12%,,,,
2008-MS,2008,MS,554662,724597,10606,1289865,43.00%,56.18%,0.82%,,,,
2008-MO,2008,MO,1441911,1445814,37480,2925205,49.29%,49.43%,1.28%,,,,
2008-MT,2008,MT,231667,242763,15872,490302,47.25%,49.51%,3.24%,,,,
2008-NE,2008,NE,333319,452979,14983,801281,41.60%,56.53%,1.87%,,,,
2008-NV,2008,NV,533736,412827,21285,967848,55.15%,42.65%,2.20%,,,,
2008-NH,2008,NH,384826,316534,9610,710970,54.13%,44.52%,1.35%,,,,
2008-NJ,2008,NJ,2215422,1613207,39608,3868237,57.27%,41.70%,1.02%,,,,
2008-NM,2008,NM,472422,346832,10904,830158,56.91%,41.78%,1.31%,,,,
2008-NY,2008,NY,4804945,2752771,83215,7640931,62.88%,36.03%,1.09%,,,,
2008-NC,2008,NC,2142651,2128474,39664,4310789,49.70%,49.38%,0.92%,,,,
2008-ND,2008,ND,141278,168601,6742,316621,44.62%,53.25%,2.13%,,,,
2008-OH,2008,OH,2940044,2677820,90486,5708350,51.50%,46.91%,1.59%,,,,
2008-OK,2008,OK,502496,960165,0,1462661,34.35%,65.65%,0.00%,,,,
2008-OR,2008,OR,1037291,738475,52098,1827864,56.75%,40.40%,2.85%,,,,
2008-PA,2008,PA,3276363,2655885,81024,6013272,54.49%,44.17%,1.35%,,,,
2008-RI,2008,RI,296571,165391,9804,471766,62.86%,35.06%,2.08%,,,,
2008-SC,2008,SC,862449,1034896,23624,1920969,44.90%,53.87%,1.23%,,,,
2008-SD,2008,SD,170924,203054,7997,381975,44.75%,53.16%,2.09%,,,,
2008-TN,2008,TN,1087437,1479178,33134,2599749,41.83%,56.90%,1.27%,,,,
2008-TX,2008,TX,3528633,4479328,69834,8077795,43.68%,55.45%,0.86%,,,,
2008-UT,2008,UT,327670,596030,28670,952370,34.41%,62.58%,3.01%,,,,
2008-VT,2008,VT,219262,98974,6810,325046,67.46%,30.45%,2.10%,,,,
2008-VA,2008,VA,1959532,1725005,38723,3723260,52.63%,46.33%,1.04%,,,,
2008-WA,2008,WA,1750848,1229216,56814,3036878,57.65%,40.48%,1.87%,,,,
2008-WV,2008,WV,303857,397466,12128,713451,42.59%,55.71%,1.70%,,,,
2008-WI,2008,WI,1677211,1262393,43813,2983417,56.22%,42.31%,1.47%,,,,
2008-WY,2008,WY,82868,164958,6832,254658,32.54%,64.78%,2.68%,,,,
,,,,,,,,,,,,,
Year-State,Year,State,Democratic Candidates,Republican Candidates,Other Candidates,Total Candidates ,% Democratic ,%Republican ,% Other Candidates,,,,
2012-AL,2012,AL,795696,1255925,22717,2074338,38.36%,60.55%,1.10%,,,,
2012-AK,2012,AK,122640,164676,13179,300495,40.81%,54.80%,4.39%,,,,
2012-AZ,2012,AZ,1025232,1233654,40368,2299254,44.59%,53.65%,1.76%,,,,
2012-AR,2012,AR,394409,647744,27315,1069468,36.88%,60.57%,2.55%,,,,
2012-CA,2012,CA,7854285,4839958,344304,13038547,60.24%,37.12%,2.64%,,,,
2012-CO,2012,CO,1323102,1185243,61177,2569522,51.49%,46.13%,2.38%,,,,
2012-CT,2012,CT,905083,634892,18985,1558960,58.06%,40.73%,1.22%,,,,
2012-DE,2012,DE,242584,165484,5853,413921,58.61%,39.98%,1.41%,,,,
2012-DC,2012,DC,267070,21381,5313,293764,90.91%,7.28%,1.81%,,,,
2012-FL,2012,FL,4237756,4163447,72976,8474179,50.01%,49.13%,0.86%,,,,
2012-GA,2012,GA,1773827,2078688,47535,3900050,45.48%,53.30%,1.22%,,,,
2012-HI,2012,HI,306658,121015,7024,434697,70.55%,27.84%,1.62%,,,,
2012-ID,2012,ID,212787,420911,18576,652274,32.62%,64.53%,2.85%,,,,
2012-IL,2012,IL,3019512,2135216,87286,5242014,57.60%,40.73%,1.67%,,,,
2012-IN,2012,IN,1152887,1420543,51104,2624534,43.93%,54.13%,1.95%,,,,
2012-IA,2012,IA,822544,730617,29019,1582180,51.99%,46.18%,1.83%,,,,
2012-KS,2012,KS,440726,692634,26611,1159971,37.99%,59.71%,2.29%,,,,
2012-KY,2012,KY,679370,1087190,30652,1797212,37.80%,60.49%,1.71%,,,,
2012-LA,2012,LA,809141,1152262,32662,1994065,40.58%,57.78%,1.64%,,,,
2012-ME,2012,ME,401306,292276,19598,713180,56.27%,40.98%,2.75%,,,,
2012-MD,2012,MD,1677844,971869,57614,2707327,61.97%,35.90%,2.13%,,,,
2012-MA,2012,MA,1921290,1188314,58163,3167767,60.65%,37.51%,1.84%,,,,
2012-MI,2012,MI,2564569,2115256,51136,4730961,54.21%,44.71%,1.08%,,,,
2012-MN,2012,MN,1546167,1320225,70169,2936561,52.65%,44.96%,2.39%,,,,
2012-MS,2012,MS,562949,710746,11889,1285584,43.79%,55.29%,0.92%,,,,
2012-MO,2012,MO,1223796,1482440,51087,2757323,44.38%,53.76%,1.85%,,,,
2012-MT,2012,MT,201839,267928,14281,484048,41.70%,55.35%,2.95%,,,,
2012-NE,2012,NE,302081,475064,17234,794379,38.03%,59.80%,2.17%,,,,
2012-NV,2012,NV,531373,463567,19978,1014918,52.36%,45.68%,1.97%,,,,
2012-NH,2012,NH,369561,329918,11493,710972,51.98%,46.40%,1.62%,,,,
2012-NJ,2012,NJ,2125101,1477568,37623,3640292,58.38%,40.59%,1.03%,,,,
2012-NM,2012,NM,415335,335788,32635,783758,52.99%,42.84%,4.16%,,,,
2012-NY,2012,NY,4485741,2490431,104987,7081159,63.35%,35.17%,1.48%,,,,
2012-NC,2012,NC,2178391,2270395,56586,4505372,48.35%,50.39%,1.26%,,,,
2012-ND,2012,ND,124827,188163,9637,322627,38.69%,58.32%,2.99%,,,,
2012-OH,2012,OH,2827709,2661437,91701,5580847,50.67%,47.69%,1.64%,,,,
2012-OK,2012,OK,443547,891325,0,1334872,33.23%,66.77%,0.00%,,,,
2012-OR,2012,OR,970488,754175,64607,1789270,54.24%,42.15%,3.61%,,,,
2012-PA,2012,PA,2990274,2680434,82962,5753670,51.97%,46.59%,1.44%,,,,
2012-RI,2012,RI,279677,157204,9168,446049,62.70%,35.24%,2.06%,,,,
2012-SC,2012,SC,865941,1071645,26532,1964118,44.09%,54.56%,1.35%,,,,
2012-SD,2012,SD,145039,210610,8166,363815,39.87%,57.89%,2.24%,,,,
2012-TN,2012,TN,960709,1462330,35538,2458577,39.08%,59.48%,1.45%,,,,
2012-TX,2012,TX,3308124,4569843,115884,7993851,41.38%,57.17%,1.45%,,,,
2012-UT,2012,UT,251813,740600,25027,1017440,24.75%,72.79%,2.46%,,,,
2012-VT,2012,VT,199239,92698,7353,299290,66.57%,30.97%,2.46%,,,,
2012-VA,2012,VA,1971820,1822522,60147,3854489,51.16%,47.28%,1.56%,,,,
2012-WA,2012,WA,1755396,1290670,79450,3125516,56.16%,41.29%,2.54%,,,,
2012-WV,2012,WV,238269,417655,14514,670438,35.54%,62.30%,2.16%,,,,
2012-WI,2012,WI,1620985,1407966,39483,3068434,52.83%,45.89%,1.29%,,,,
2012-WY,2012,WY,69286,170962,8813,249061,27.82%,68.64%,3.54%,,,,
,,,,,,,,,,,,,
Year-State,Year,State,Democratic Candidates,Republican Candidates,Other Candidates,Total Candidates ,% Democratic ,%Republican ,% Other Candidates,,,,
2016-AL,2016,AL,1318255,729547,75570,2123372,62.08%,34.36%,3.56%,,,,
2016-AK,2016,AK,163387,116454,38767,318608,51.28%,36.55%,12.17%,,,,
2016-AZ,2016,AZ,1252401,1161167,159597,2573165,48.67%,45.13%,6.20%,,,,
2016-AR,2016,AR,684872,380494,65310,1130676,60.57%,33.65%,5.78%,,,,
2016-CA,2016,CA,4483814,8753792,943998,14181604,31.62%,61.73%,6.66%,,,,
2016-CO,2016,CO,1202484,1338870,238893,2780247,43.25%,48.16%,8.59%,,,,
2016-CT,2016,CT,673215,897572,74133,1644920,40.93%,54.57%,4.51%,,,,
2016-DE,2016,DE,185127,235603,23084,443814,41.71%,53.09%,5.20%,,,,
2016-DC,2016,DC,12723,282830,15715,311268,4.09%,90.86%,5.05%,,,,
2016-FL,2016,FL,4617886,4504975,297178,9420039,49.02%,47.82%,3.15%,,,,
2016-GA,2016,GA,2089104,1877963,147665,4114732,50.77%,45.64%,3.59%,,,,
2016-HI,2016,HI,128847,266891,33199,428937,30.04%,62.22%,7.74%,,,,
2016-ID,2016,ID,409055,189765,91435,690255,59.26%,27.49%,13.25%,,,,
2016-IL,2016,IL,2146015,3090729,299680,5536424,38.76%,55.83%,5.41%,,,,
2016-IN,2016,IN,1557286,1033126,144546,2734958,56.94%,37.77%,5.29%,,,,
2016-IA,2016,IA,800983,653669,111379,1566031,51.15%,41.74%,7.11%,,,,
2016-KS,2016,KS,671018,427005,86379,1184402,56.65%,36.05%,7.29%,,,,
2016-KY,2016,KY,1202971,628854,92324,1924149,62.52%,32.68%,4.80%,,,,
2016-LA,2016,LA,1178638,780154,70240,2029032,58.09%,38.45%,3.46%,,,,
2016-ME,2016,ME,335593,357735,54599,747927,44.87%,47.83%,7.30%,,,,
2016-MD,2016,MD,943169,1677928,160349,2781446,33.91%,60.33%,5.76%,,,,
2016-MA,2016,MA,1090893,1995196,238957,3325046,32.81%,60.01%,7.19%,,,,
2016-MI,2016,MI,2279543,2268839,250902,4799284,47.50%,47.27%,5.23%,,,,
2016-MN,2016,MN,1322951,1367716,254146,2944813,44.92%,46.44%,8.63%,,,,
2016-MS,2016,MS,700714,485131,23512,1209357,57.94%,40.11%,1.94%,,,,
2016-MO,2016,MO,1594511,1071068,143026,2808605,56.77%,38.14%,5.09%,,,,
2016-MT,2016,MT,279240,177709,40198,497147,56.17%,35.75%,8.09%,,,,
2016-NE,2016,NE,495961,284494,63772,844227,58.75%,33.70%,7.55%,,,,
2016-NV,2016,NV,512058,539260,74067,1125385,45.50%,47.92%,6.58%,,,,
2016-NH,2016,NH,345790,348526,49980,744296,46.46%,46.83%,6.72%,,,,
2016-NJ,2016,NJ,1601933,2148278,123835,3874046,41.35%,55.45%,3.20%,,,,
2016-NM,2016,NM,319667,385234,93418,798319,40.04%,48.26%,11.70%,,,,
2016-NY,2016,NY,2819533,4556118,345791,7721442,36.52%,59.01%,4.48%,,,,
2016-NC,2016,NC,2362631,2189316,189617,4741564,49.83%,46.17%,4.00%,,,,
2016-ND,2016,ND,216794,93758,33808,344360,62.96%,27.23%,9.82%,,,,
2016-OH,2016,OH,2841005,2394164,261318,5496487,51.69%,43.56%,4.75%,,,,
2016-OK,2016,OK,949136,420375,83481,1452992,65.32%,28.93%,5.75%,,,,
2016-OR,2016,OR,782403,1002106,216827,2001336,39.09%,50.07%,10.83%,,,,
2016-PA,2016,PA,2970733,2926441,268304,6165478,48.18%,47.46%,4.35%,,,,
2016-RI,2016,RI,180543,252525,31076,464144,38.90%,54.41%,6.70%,,,,
2016-SC,2016,SC,1155389,855373,92265,2103027,54.94%,40.67%,4.39%,,,,
2016-SD,2016,SD,227721,117458,24914,370093,61.53%,31.74%,6.73%,,,,
2016-TN,2016,TN,1522925,870695,114407,2508027,60.72%,34.72%,4.56%,,,,
2016-TX,2016,TX,4685047,3877868,406311,8969226,52.23%,43.24%,4.53%,,,,
2016-UT,2016,UT,515231,310676,305523,1131430,45.54%,27.46%,27.00%,,,,
2016-VT,2016,VT,95369,178573,41125,315067,30.27%,56.68%,13.05%,,,,
2016-VA,2016,VA,1769443,1981473,233715,3984631,44.41%,49.73%,5.87%,,,,
2016-WA,2016,WA,1221747,1742718,352554,3317019,36.83%,52.54%,10.63%,,,,
2016-WV,2016,WV,489371,188794,36258,714423,68.50%,26.43%,5.08%,,,,
2016-WI,2016,WI,1405284,1382536,188330,2976150,47.22%,46.45%,6.33%,,,,
2016-WY,2016,WY,174419,55973,25457,255849,68.17%,21.88%,9.95%,,,,
