YearState,ElectionYear,StateAbbriviation,StateName,PercentCitizenWhite,PercentCitizenBlack,PercentCitizenAsian,PercentCitizenHispanic,TotalVotingAgePopulation,TotalVotingAgeCitizen,TotalPercentCitizen,TotalRegisteredVoters,TotalPercentRegisteredCitizens,TotalTotalVotes,TotalPercentVotedCitizen,MaleVotingAgePopulation,MaleVotingAgeCitizen,MalePercentCitizen,MaleRegisteredVoters,MalePercentRegisteredCitizens,MaleTotalVotes,MalePercentVotedCitizen,FemaleVotingAgePopulation,FemaleVotingAgeCitizen,FemalePercentCitizen,FemaleRegisteredVoters,FemalePercentRegisteredCitizens,FemaleTotalVotes,FemalePercentVotedCitizen,WhiteNonHispanicVotingAgePopulation,WhiteNonHispanicVotingAgeCitizen,WhiteNonHispanicPercentCitizen,WhiteNonHispanicRegisteredVoters,WhiteNonHispanicPercentRegisteredCitizens,WhiteNonHispanicTotalVotes,WhiteNonHispanicPercentVotedCitizen,BlackVotingAgePopulation,BlackVotingAgeCitizen,BlackPercentCitizen,BlackRegisteredVoters,BlackPercentRegisteredCitizens,BlackTotalVotes,BlackPercentVotedCitizen,AsianPacificIslanderVotingAgePopulation,AsianPacificIslanderVotingAgeCitizen,AsianPacificIslanderPercentCitizen,AsianPacificIslanderRegisteredVoters,AsianPacificIslanderPercentRegisteredCitizens,AsianPacificIslanderTotalVotes,AsianPacificIslanderPercentVotedCitizen,HispanicVotingAgePopulation,HispanicVotingAgeCitizen,HispanicPercentCitizen,HispanicRegisteredVoters,HispanicPercentRegisteredCitizens,HispanicTotalVotes,HispanicPercentVotedCitizen
2000-IA,2000,IA,IOWA,0.948705179,0.035856574,0.000996016,0.014442231,2110,2008,0.951658768,1524,0.758964143,1353,0.673804781,1049,992,0.945662536,733,0.73891129,650,0.655241935,1061,1017,0.958529689,790,0.776794494,703,0.691248771,1920,1905,0.9921875,1460,0.766404199,1301,0.682939633,81,72,0.888888889,42,0.583333333,34,0.472222222,20,2,0.1,0,0,0,0,89,29,0.325842697,22,0.75862069,19,0.655172414
2000-KS,2000,KS,KANSAS,0.912950027,0.055346588,0.005910801,0.015045674,1908,1861,0.975366876,1293,0.694787749,1148,0.616872649,927,904,0.975188781,600,0.663716814,528,0.584070796,981,958,0.976554536,693,0.723382046,620,0.647181628,1707,1699,0.995313415,1198,0.705120659,1066,0.627427899,103,103,1,72,0.699029126,63,0.611650485,29,11,0.379310345,5,0.454545455,5,0.454545455,50,28,0.56,8,0.285714286,7,0.25
2000-KY,2000,KY,KENTUCKY,0.905414668,0.07882111,0.003084304,0.008910212,2996,2918,0.973965287,2087,0.715215901,1645,0.563742289,1398,1356,0.969957082,963,0.710176991,760,0.560471976,1597,1562,0.978083907,1125,0.720230474,886,0.567221511,2668,2642,0.990254873,1911,0.72331567,1498,0.566994701,230,230,1,141,0.613043478,121,0.526086957,17,9,0.529411765,7,0.777777778,4,0.444444444,71,26,0.366197183,19,0.730769231,17,0.653846154
2000-LA,2000,LA,LOUISIANA,0.690391459,0.285991588,0.003558719,0.016175995,3143,3091,0.983455297,2369,0.766418635,2030,0.65674539,1434,1401,0.976987448,1049,0.748750892,903,0.644539615,1709,1690,0.988882387,1320,0.781065089,1127,0.666863905,2142,2134,0.996265173,1670,0.782567948,1442,0.675726336,884,884,1,647,0.731900452,555,0.627828054,44,11,0.25,3,0.272727273,3,0.272727273,61,50,0.819672131,38,0.76,22,0.44
2000-ME,2000,ME,MAINE,0.982401656,0.00621118,0.005175983,0.004140787,979,966,0.986721144,786,0.813664596,677,0.700828157,465,461,0.991397849,374,0.811279826,315,0.68329718,514,505,0.982490272,412,0.815841584,362,0.716831683,962,949,0.986486486,775,0.816649104,667,0.7028451,6,6,1,4,0.666666667,4,0.666666667,5,5,1,3,0.6,3,0.6,4,4,1,4,1,3,0.75
2000-MD,2000,MD,MARYLAND,0.67545582,0.29256662,0.01654979,0.010659187,3812,3565,0.935204617,2499,0.700981767,2178,0.610939691,1838,1681,0.914581066,1129,0.671624033,970,0.577037478,1974,1883,0.953900709,1371,0.728093468,1208,0.641529474,2461,2408,0.978464039,1661,0.689784053,1432,0.594684385,1125,1043,0.927111111,765,0.73346117,679,0.651006711,83,59,0.710843373,27,0.457627119,27,0.457627119,131,38,0.290076336,30,0.789473684,30,0.789473684
2000-MA,2000,MA,MASSACHUSETTS,0.893311352,0.051813472,0.012953368,0.041215261,4614,4246,0.920242739,3244,0.764013189,2772,0.652849741,2212,2009,0.908227848,1519,0.756097561,1296,0.645097063,2403,2237,0.930919684,1725,0.771122038,1476,0.659812249,3979,3793,0.953254587,2973,0.783812286,2566,0.676509359,275,220,0.8,144,0.654545455,131,0.595454545,109,55,0.504587156,23,0.418181818,23,0.418181818,251,175,0.697211155,103,0.588571429,51,0.291428571
2000-MI,2000,MI,MICHIGAN,0.850208244,0.124515295,0.008760592,0.014792475,7231,6963,0.962937353,4996,0.717506822,4343,0.623725406,3517,3387,0.963036679,2387,0.704753469,2057,0.607322114,3713,3576,0.963102612,2609,0.72958613,2287,0.639541387,6024,5920,0.982735724,4280,0.722972973,3731,0.630236486,877,867,0.988597491,621,0.716262976,534,0.615916955,161,61,0.378881988,33,0.540983607,30,0.491803279,156,103,0.66025641,51,0.495145631,40,0.388349515
2000-MN,2000,MN,MINNESOTA,0.947167596,0.026709715,0.009979454,0.005576754,3506,3407,0.971762693,2688,0.788963898,2376,0.697387731,1721,1661,0.965136549,1257,0.756773028,1119,0.673690548,1785,1746,0.978151261,1431,0.819587629,1257,0.719931271,3245,3227,0.994453005,2583,0.800433839,2296,0.711496746,95,91,0.957894737,54,0.593406593,41,0.450549451,81,34,0.419753086,26,0.764705882,18,0.529411765,50,19,0.38,9,0.473684211,9,0.473684211
2000-MS,2000,MS,MISSISSIPPI,0.68015992,0.305347326,0.001999,0.009495252,2029,2001,0.986200099,1465,0.732133933,1213,0.606196902,943,929,0.985153765,655,0.705059203,535,0.575888052,1086,1072,0.987108656,809,0.754664179,678,0.632462687,1371,1361,0.992706054,995,0.731080088,849,0.623806025,611,611,1,450,0.736497545,357,0.584288052,16,4,0.25,4,1,0,0,25,19,0.76,13,0.684210526,4,0.210526316
2000-MO,2000,MO,MISSOURI,0.869576122,0.10860296,0.013794833,0.006772009,4066,3987,0.980570585,3023,0.758214196,2659,0.666917482,1902,1872,0.984227129,1386,0.740384615,1217,0.650106838,2165,2115,0.976905312,1637,0.773995272,1442,0.68179669,3494,3467,0.992272467,2639,0.76117681,2314,0.667435823,442,433,0.979638009,337,0.778290993,302,0.697459584,88,55,0.625,34,0.618181818,30,0.545454545,38,27,0.710526316,13,0.481481481,13,0.481481481
2000-MT,2000,MT,MONTANA,0.927692308,0,0.001538462,0.018461538,658,650,0.987841945,461,0.709230769,409,0.629230769,329,327,0.993920973,224,0.685015291,198,0.605504587,329,323,0.981762918,237,0.73374613,212,0.656346749,608,603,0.991776316,430,0.713101161,385,0.638474295,0,0,0,0,0,0,0,3,1,0.333333333,1,1,1,1,13,12,0.923076923,9,0.75,8,0.666666667
2000-NE,2000,NE,NEBRASKA,0.914115646,0.039115646,0.011054422,0.027210884,1205,1176,0.97593361,865,0.735544218,710,0.603741497,579,567,0.979274611,394,0.694885362,331,0.58377425,626,609,0.97284345,471,0.773399015,379,0.622331691,1078,1075,0.997217069,800,0.744186047,661,0.614883721,46,46,1,30,0.652173913,23,0.5,14,13,0.928571429,8,0.615384615,7,0.538461538,56,32,0.571428571,20,0.625,15,0.46875
2000-NV,2000,NV,NEVADA,0.758340114,0.082180635,0.053702197,0.09194467,1377,1229,0.892519971,720,0.585842148,641,0.521562246,693,623,0.898989899,349,0.560192616,310,0.497592295,683,606,0.887262079,371,0.612211221,331,0.54620462,945,932,0.986243386,578,0.620171674,525,0.563304721,105,101,0.961904762,51,0.504950495,41,0.405940594,92,66,0.717391304,25,0.378787879,18,0.272727273,220,113,0.513636364,53,0.469026549,45,0.398230088
2000-NH,2000,NH,NEW HAMPSHIRE,0.961493582,0.015169195,0.011668611,0.007001167,902,857,0.950110865,628,0.732788798,571,0.666277713,442,421,0.952488688,301,0.714964371,271,0.643705463,461,437,0.947939262,327,0.748283753,300,0.686498856,848,824,0.971698113,607,0.736650485,551,0.66868932,13,13,1,10,0.769230769,9,0.692307692,23,10,0.434782609,4,0.4,4,0.4,14,6,0.428571429,4,0.666666667,4,0.666666667
2000-NJ,2000,NJ,NEW JERSEY,0.788200806,0.124587761,0.023085379,0.063393184,6109,5458,0.893435914,3859,0.707035544,3374,0.618175156,2919,2598,0.890030832,1820,0.700538876,1602,0.616628176,3190,2860,0.896551724,2039,0.712937063,1772,0.61958042,4492,4302,0.957702582,3151,0.732450023,2760,0.641562064,753,680,0.903054449,405,0.595588235,356,0.523529412,278,126,0.45323741,87,0.69047619,77,0.611111111,583,346,0.59348199,212,0.612716763,179,0.51734104
2000-NM,2000,NM,NEW MEXICO,0.488215488,0.024410774,0.004208754,0.358585859,1261,1188,0.942109437,750,0.631313131,647,0.544612795,591,559,0.945854484,332,0.59391771,286,0.511627907,670,629,0.93880597,419,0.666136725,361,0.573926868,592,580,0.97972973,435,0.75,392,0.675862069,29,29,1,15,0.517241379,9,0.310344828,7,5,0.714285714,2,0.4,2,0.4,484,426,0.880165289,239,0.561032864,191,0.448356808
2000-NY,2000,NY,NEW YORK,0.73132946,0.14170245,0.035699251,0.090679465,13725,11877,0.865355191,8047,0.677527995,7004,0.589711207,6613,5689,0.860275215,3710,0.6521357,3251,0.571453683,7112,6189,0.870219348,4337,0.700759412,3753,0.606398449,9115,8686,0.952934723,6155,0.708611559,5393,0.620884181,1989,1683,0.846153846,1078,0.640522876,950,0.564468212,908,424,0.466960352,209,0.492924528,157,0.370283019,1706,1077,0.63130129,603,0.559888579,502,0.466109564
2000-NC,2000,NC,NORTH CAROLINA,0.718088097,0.245173383,0.004311153,0.01574508,5629,5335,0.947770474,3720,0.697282099,2995,0.561387067,2626,2442,0.929931455,1693,0.693284193,1361,0.557330057,3003,2893,0.963369963,2026,0.700311096,1633,0.564465952,3895,3831,0.983568678,2784,0.726703211,2296,0.599321326,1310,1308,0.998473282,827,0.632262997,626,0.478593272,77,23,0.298701299,8,0.347826087,2,0.086956522,255,84,0.329411765,31,0.369047619,22,0.261904762
2000-ND,2000,ND,NORTH DAKOTA,0.941573034,0.004494382,0.004494382,0.006741573,449,445,0.991091314,409,0.919101124,313,0.703370787,222,219,0.986486486,202,0.922374429,155,0.707762557,228,226,0.99122807,208,0.920353982,159,0.703539823,422,419,0.992890995,388,0.92601432,302,0.720763723,2,2,1,2,1,1,0.5,2,2,1,1,0.5,0,0,3,3,1,2,0.666666667,0,0
2000-OH,2000,OH,OHIO,0.869090016,0.111015596,0.006508658,0.010684023,8301,8143,0.980966149,5561,0.682917844,4823,0.592287855,3916,3836,0.979570991,2559,0.667101147,2201,0.573774765,4385,4307,0.982212087,3002,0.697004876,2622,0.60877641,7147,7077,0.990205681,4869,0.688003391,4239,0.59898262,931,904,0.970998926,598,0.661504425,500,0.553097345,96,53,0.552083333,32,0.603773585,27,0.509433962,106,87,0.820754717,47,0.540229885,43,0.494252874
2000-OK,2000,OK,OKLAHOMA,0.868333333,0.047916667,0.009166667,0.019583333,2457,2400,0.976800977,1679,0.699583333,1431,0.59625,1155,1124,0.973160173,761,0.677046263,653,0.580960854,1302,1276,0.980030722,918,0.719435737,778,0.609717868,2102,2084,0.991436727,1483,0.711612284,1269,0.608925144,115,115,1,66,0.573913043,51,0.443478261,38,22,0.578947368,16,0.727272727,14,0.636363636,76,47,0.618421053,26,0.553191489,21,0.446808511
2000-OR,2000,OR,OREGON,0.927668845,0.014814815,0.016993464,0.030501089,2515,2295,0.912524851,1714,0.746840959,1529,0.666230937,1219,1106,0.907301066,806,0.72875226,712,0.643761302,1296,1189,0.917438272,908,0.763666947,817,0.687132044,2181,2129,0.976157726,1605,0.753875059,1444,0.678252701,34,34,1,20,0.588235294,17,0.5,85,39,0.458823529,25,0.641025641,21,0.538461538,193,70,0.362694301,48,0.685714286,33,0.471428571
2000-PA,2000,PA,PENNSYLVANIA,0.886727294,0.083227812,0.007482445,0.020950846,8950,8687,0.970614525,5847,0.673074709,4988,0.57419132,4287,4154,0.968975974,2836,0.682715455,2373,0.57125662,4663,4533,0.972120952,3011,0.664240018,2615,0.576880653,7805,7703,0.986931454,5170,0.671167078,4414,0.573023497,746,723,0.969168901,524,0.724757953,457,0.63208852,137,65,0.474452555,42,0.646153846,37,0.569230769,248,182,0.733870968,99,0.543956044,68,0.373626374
2000-RI,2000,RI,RHODE ISLAND,0.917391304,0.043478261,0.008695652,0.024637681,729,690,0.946502058,508,0.736231884,438,0.634782609,339,322,0.949852507,230,0.714285714,193,0.599378882,390,368,0.943589744,279,0.758152174,245,0.66576087,649,633,0.975346687,483,0.763033175,415,0.655608215,38,30,0.789473684,14,0.466666667,13,0.433333333,9,6,0.666666667,4,0.666666667,3,0.5,30,17,0.566666667,4,0.235294118,4,0.235294118
2000-SC,2000,SC,SOUTH CAROLINA,0.745598895,0.226786331,0.007939247,0.015878495,2929,2897,0.98907477,1993,0.687953055,1725,0.595443562,1355,1336,0.98597786,869,0.650449102,752,0.562874251,1575,1561,0.991111111,1124,0.720051249,973,0.623318386,2171,2160,0.994933211,1516,0.701851852,1303,0.603240741,662,657,0.99244713,454,0.691019787,402,0.611872146,23,23,1,10,0.434782609,10,0.434782609,62,46,0.741935484,7,0.152173913,7,0.152173913
2000-SD,2000,SD,SOUTH DAKOTA,0.940952381,0.005714286,0.001904762,0.005714286,530,525,0.990566038,376,0.716190476,311,0.592380952,263,260,0.988593156,184,0.707692308,149,0.573076923,266,264,0.992481203,192,0.727272727,162,0.613636364,495,494,0.997979798,355,0.718623482,297,0.601214575,5,3,0.6,2,0.666666667,1,0.333333333,2,1,0.5,0,0,0,0,4,3,0.75,2,0.666666667,1,0.333333333
2000-TN,2000,TN,TENNESSEE,0.830833538,0.160806491,0.001475289,0.006392919,4173,4067,0.97459861,2590,0.636833046,2183,0.536759282,2036,1960,0.962671906,1239,0.632142857,1042,0.531632653,2137,2107,0.985961628,1351,0.641196013,1142,0.542002848,3422,3379,0.987434249,2149,0.635986978,1825,0.540100621,658,654,0.993920973,427,0.652905199,344,0.525993884,23,6,0.260869565,3,0.5,3,0.5,67,26,0.388059701,11,0.423076923,11,0.423076923
2000-TX,2000,TX,TEXAS,0.626188452,0.105202133,0.018164953,0.245265518,14533,12937,0.890180967,8929,0.690190925,7005,0.541470202,7079,6222,0.878937703,4189,0.673256188,3305,0.531179685,7454,6715,0.900858599,4740,0.705882353,3700,0.551005212,8223,8101,0.985163566,5901,0.728428589,4761,0.587705222,1380,1361,0.986231884,958,0.703894195,798,0.586333578,451,235,0.521064302,135,0.574468085,120,0.510638298,4414,3173,0.718849116,1905,0.600378191,1300,0.409706902
2000-UT,2000,UT,UTAH,0.937590711,0.002902758,0.02467344,0.031204644,1472,1378,0.936141304,953,0.691582003,829,0.601596517,724,677,0.935082873,453,0.669128508,386,0.570162482,748,701,0.937165775,500,0.713266762,443,0.631954351,1313,1292,0.984006093,913,0.706656347,798,0.617647059,4,4,1,4,1,4,1,46,34,0.739130435,9,0.264705882,7,0.205882353,104,43,0.413461538,24,0.558139535,20,0.465116279
2000-VT,2000,VT,VERMONT,0.993348115,0,0,0.00443459,458,451,0.984716157,330,0.731707317,290,0.643015521,221,216,0.977375566,152,0.703703704,131,0.606481481,238,235,0.987394958,178,0.757446809,159,0.676595745,451,448,0.993348115,328,0.732142857,288,0.642857143,1,0,0,0,0,0,0,2,0,0,0,0,0,0,3,2,0.666666667,2,1,2,1
2000-VA,2000,VA,VIRGINIA,0.742060261,0.199918567,0.025651466,0.029315961,5177,4912,0.948812053,3317,0.675285016,2962,0.603013029,2431,2305,0.948169478,1512,0.655965293,1344,0.58308026,2745,2608,0.950091075,1805,0.692101227,1619,0.620782209,3719,3645,0.980102178,2568,0.704526749,2300,0.631001372,1003,982,0.979062812,583,0.593686354,529,0.538696538,205,126,0.614634146,59,0.468253968,42,0.333333333,234,144,0.615384615,106,0.736111111,90,0.625
2000-WA,2000,WA,WASHINGTON,0.89529181,0.024767043,0.034575772,0.026728789,4314,4078,0.94529439,2852,0.699362433,2527,0.619666503,2053,1936,0.943010229,1361,0.702995868,1196,0.617768595,2261,2142,0.947368421,1491,0.696078431,1331,0.621381886,3734,3651,0.977771826,2589,0.709120789,2346,0.642563681,123,101,0.821138211,62,0.613861386,39,0.386138614,213,141,0.661971831,90,0.638297872,60,0.425531915,167,109,0.652694611,71,0.651376147,59,0.541284404
2000-WV,2000,WV,WEST VIRGINIA,0.9634932,0.032211883,0.001431639,0.003579098,1405,1397,0.99430605,886,0.634216178,732,0.523979957,654,651,0.995412844,412,0.632872504,341,0.523809524,750,746,0.994666667,475,0.636729223,390,0.522788204,1349,1346,0.99777613,856,0.635958395,708,0.526002972,45,45,1,29,0.644444444,22,0.488888889,4,2,0.5,0,0,0,0,7,5,0.714285714,1,0.2,1,0.2
2000-WI,2000,WI,WISCONSIN,0.92436751,0.03701731,0.010386152,0.020772304,3884,3755,0.966786818,2970,0.790945406,2632,0.700932091,1912,1822,0.95292887,1420,0.779363337,1266,0.694840834,1972,1932,0.979716024,1551,0.802795031,1367,0.707556936,3503,3471,0.990864973,2784,0.80207433,2469,0.711322385,147,139,0.945578231,105,0.755395683,91,0.654676259,48,39,0.8125,30,0.769230769,30,0.769230769,159,78,0.490566038,34,0.435897436,31,0.397435897
2000-WY,2000,WY,WYOMING,0.931034483,0.002873563,0,0.048850575,350,348,0.994285714,240,0.689655172,219,0.629310345,176,175,0.994318182,118,0.674285714,105,0.6,175,173,0.988571429,122,0.705202312,114,0.658959538,324,324,1,228,0.703703704,211,0.651234568,1,1,1,1,1,1,1,0,0,0,0,0,0,0,19,17,0.894736842,9,0.529411765,6,0.352941176
2004-USA,2004,USA,UNITED STATES,0.762051725,0.121357326,0.033938225,0.081662902,215694,197005,0.913354103,142070,0.721149209,125736,0.638237608,103812,94147,0.90689901,66406,0.705343771,58455,0.620890735,111882,102858,0.919343594,75663,0.73560637,67281,0.654115382,153399,150128,0.978676523,112703,0.750712725,100726,0.670934136,25510,23908,0.937201098,16408,0.686297474,14324,0.599129998,9721,6686,0.687789322,3508,0.524678433,2980,0.445707448,27129,16088,0.593018541,9308,0.578567877,7587,0.471593734
